id,transaction_date,authorization_time,amount,currency,merchant_id,network_merchant_name,subcategory_id
66ca47f34425e4cf8748c08ec6fac1e1,2019-08-31,2019-08-31T06:43:04.000Z,8454,SEK,easy-park,EASYPARK,b5af4a6d-2c0b-45b7-90ee-1dac09d9d16f
b6d2a1874007764d105efbee7714f4e2,2019-08-31,2019-08-31T18:54:26.000Z,10239,SEK,,PAYPAL *DISCORD,e7299094-0ad6-4bad-a330-1269e8134fa7
30c93db5a90df2420770bc8cdce77d29,2019-08-31,,4930,SEK,systembolaget,SYSTEMBOLAGET KARLSTAD,15648215-9ffe-47f1-8290-0bf55388d17d
08ffbfc0e2755386b4acfd725d61ad15,2019-08-31,2019-08-31T15:20:23.000Z,650,EUR,f1e590cf-c301-48b0-afa8-47166e4ab9c6,Sunborn Catering Oy   Kul,129027fd-a56c-4eb5-963f-d9087c1a1931
f52910299c27015ccd7a0da15b890c70,2019-08-31,2019-08-31T11:08:21.000Z,99,EUR,itunes,ITUNES.COM/BILL,921a55be-4097-4a39-9849-a3b2a2028b32
6fc3e0d86a9cc7e2a299f35da398f43c,2019-08-31,2019-08-31T09:20:20.000Z,4595,SEK,8665d425-21a7-49d3-b584-b241dd00e61a,HANDLARN I TRANGSVIKEN,4c729494-0519-4d5e-b25d-a794e139cce8
7e2d5d84dce201e0de075ad75f91bb35,2019-08-31,,950,EUR,,Ravintolakolmio Oy,84fe55b7-0537-487e-9587-74c38d379132
8f0b30e2b38abac4731a7212be42447a,2019-08-31,2019-08-31T13:33:33.000Z,2990,EUR,86ba48ee-7c75-4d10-9687-024867a710e9,Stadium Outlet Tammist,0a9b5e01-8955-4cb0-a1bf-e8244b73427a
29e5c3bbcd5c7b1b4d159e671e3549dc,2019-08-31,,42500,SEK,systembolaget,SYSTEMBOLAGET SÖDERTÄL,15648215-9ffe-47f1-8290-0bf55388d17d
b047d03afa2f7ccd56532753e2786948,2019-08-31,2019-08-31T13:47:47.000Z,49000,SEK,8ed488a4-d4fc-4573-af20-313452445fa5,MORMORS BAGERI,2f17b175-0dfa-4dad-aff8-2f63803a2edd
e072984f1f25db62e1113a5d9e6d61b4,2019-08-31,2019-08-31T20:01:01.000Z,1300,SEK,53e74184-f1e9-434b-ad52-ed886aa86b0e,DUKATEN PARKERI,b5af4a6d-2c0b-45b7-90ee-1dac09d9d16f
d7fc37553322ede5e24cde368b841fb9,2019-08-31,2019-08-31T05:21:21.000Z,5700,SEK,,ALWADI2,4c729494-0519-4d5e-b25d-a794e139cce8
e1f1066c74f9879ac98cb349be49ea86,2019-08-31,,235535,SEK,bauhaus,BAUHAUS LINKOPING,0f326f1a-88da-41f5-bdf7-1c98b037a3d3
fefbdebf75ef2a2b370e89ac738ac7d0,2019-08-31,2019-08-31T15:52:27.000Z,443,EUR,,POLTSAMAA SELVER,4c729494-0519-4d5e-b25d-a794e139cce8
1295a2c5b19bd3941457393ebb3f4796,2019-08-31,,1071,EUR,6c4fd8dc-ed1f-453e-ac69-932aad7502a3,LIDL KUUSAMO,4c729494-0519-4d5e-b25d-a794e139cce8
5bbdc0ca1dbd4f2d8e8ba271380b60ad,2019-08-31,2019-08-31T21:50:36.000Z,25000,SEK,8f9e82e0-635a-4a2a-ae9f-c41fc420d4c7,FARS FORORTSRESTAURANG,2fda440b-f219-4b7d-9dda-76090ec94398
3f6ead9710223a567cb8abb92f058413,2019-08-31,2019-08-31T10:25:25.000Z,10600,SEK,422b9e8d-3733-447a-86e2-b4e786023e0d,STURES BAGERI & CAFE I LO,2f17b175-0dfa-4dad-aff8-2f63803a2edd
c27dd410788f448df1fb2a219a593d65,2019-08-31,2019-08-31T18:11:30.000Z,7500,SEK,,STAY OUT WEST,2fda440b-f219-4b7d-9dda-76090ec94398
94e8cb678141ba75d21ab5f22d279ab8,2019-08-31,2019-08-31T07:51:51.000Z,20000,SEK,24e84f8f-6de9-4fe4-aa31-92219e75f2a8,SVENSKA SPEL SPORT & CASI,1b237ab0-3814-43bd-a9c0-52d57791c54f
f42bc9fe16ad74b58aabed239d790236,2019-08-31,,2595,SEK,coop,COOP RENSTIERNAS GATA,4c729494-0519-4d5e-b25d-a794e139cce8
195958d60bb1e07c81f2ab093b454b69,2019-08-31,,52400,SEK,c2f6693d-dda3-414e-b8b7-688393322ca1,WORLDOFBOARDGAMES COM,0a3651ea-2f7e-4de7-98bb-c7b3f8b23e92
efcd1001bb70411aa206ab8ad4c5024e,2019-08-31,2019-08-31T20:17:14.000Z,55000,NOK,,VINGER RESTAURA,2fda440b-f219-4b7d-9dda-76090ec94398
d5ec1a09d5c82c5e4bdf6f0954ed9f76,2019-08-31,,59500,SEK,,KALTAS RESTAURANG I HE,2fda440b-f219-4b7d-9dda-76090ec94398
bd2a6af87334ef4060a3dc613a53ca44,2019-08-31,2019-08-31T11:17:17.000Z,1500,SEK,pressbyran,PRESSBYRAN 4150121,f0ddb0b5-f57c-476b-8955-85089ade4c51
04705fe30a974ba8c273be7f5aef8e7e,2019-08-31,2019-08-31T19:04:16.000Z,5135,SEK,271dc479-9fcc-4160-9763-c0cd3af3ce7e,Hemmakvall Linkoping 1,154cba8b-75ba-4ba6-8c39-8e0651ee65c0
df953776acc04b01af14766e614b6b2a,2019-08-31,,20500,SEK,,PAYPAL *ORIGIN COM,832ecef0-3b6a-4843-8641-d78a5d86c533
aa3ae6705a4ad2e54b9933b028ea6f59,2019-08-31,2019-08-31T09:06:06.000Z,900,SEK,,ASPIEGEL LTD.,cb5542e3-42a7-4e5b-9fb9-cbf2377748f3
cbaff0bbb6c4256a95f37127575740fb,2019-08-31,,6893,SEK,ce3c5afc-8ea3-47b2-9ad5-8cbe254ccd34,COOP LILJEHOLMEN,4c729494-0519-4d5e-b25d-a794e139cce8
075a0e78594b48ce73285b15b4c6c1d5,2019-08-31,2019-08-31T08:02:02.000Z,20900,SEK,51098374-b8ac-4959-a3c5-5481821039a6,PREEM,1c680d8b-3f77-42a1-b0a0-587ae3b60945
85d80ad828e9bd760c57d745894d9c4f,2019-08-31,2019-08-31T09:45:45.000Z,30700,SEK,,BOSETTNINGEN,5113119d-26ef-436e-8486-a71ed94e396d
b47771ee16856fd6f3fbcfcd25478cef,2019-08-31,,14000,SEK,2dc6ca18-071d-4b77-bd7d-0ec68b1acf45,ICHA ICHA,2fda440b-f219-4b7d-9dda-76090ec94398
821233b88d2e767095ca1a7c3d9c876f,2019-08-31,2019-08-31T08:57:31.000Z,1000,EUR,,Lebara,775c882a-36f2-46b4-91ab-3d701e8761d6
8ae91ed50c1d5a9e2ea3a23e03d3b84e,2019-08-31,2019-08-31T17:51:21.000Z,57300,SEK,172296f6-207d-4a1a-b9f5-cdf7571098e2,LISEBERG AB,eab0f5f0-3826-49d7-8c74-df9b08a3653c
6b70a319e6075f7208c2b75c1b9dfa3e,2019-08-31,2019-08-31T06:30:17.000Z,23710,SEK,a3f6cec8-bfd7-4232-a2ff-37fc97361030,ICA SUPERMARKET BROMMA,4c729494-0519-4d5e-b25d-a794e139cce8
98b20e12f116282c1538fad919630762,2019-08-31,,10700,SEK,0a562046-a578-432e-a293-e4884995ab19,DOLLARSTORE GEVLE,85d6556d-929a-4758-9ef7-c776383bc9fe
4c2c3080e097719a46a0c3f2023d6018,2019-08-31,,33685,SEK,0a12d4d1-c671-4e2b-a6b4-e6e3fa584fa9,CITY GROSS VARMDO 347,4c729494-0519-4d5e-b25d-a794e139cce8
2a9b4d968964d1e3cc2c132611581722,2019-08-31,2019-08-31T07:39:39.000Z,9595,SEK,ica,ICA SUPERMARKET SMEDBY  K,4c729494-0519-4d5e-b25d-a794e139cce8
6aa45ff6644a47a6a8b16c187847aafc,2019-08-31,2019-08-31T10:38:38.000Z,19618,SEK,,HAMNMAGASINET I MARIESTAD,1c680d8b-3f77-42a1-b0a0-587ae3b60945
5e610149171bac851066ffeb8d160b14,2019-08-31,2019-08-31T07:25:25.000Z,2400,SEK,7-eleven,7-ELEVEN 4217107,f0ddb0b5-f57c-476b-8955-85089ade4c51
cb53d9d858703023f2e137b407df3587,2019-08-31,,16770,SEK,,FYRUDDEN,2fda440b-f219-4b7d-9dda-76090ec94398
b5ef19d36576d98eff9fb094e4422293,2019-08-31,2019-08-31T12:48:48.000Z,1195,SEK,ica-maxi,MAXI ICA STORMARKNAD VETL,4c729494-0519-4d5e-b25d-a794e139cce8
de17d388dbeaca3eb3a5e0ac90938bf3,2019-08-31,,7703,EUR,2f70ec4d-5c20-4ef5-8c8c-5a4796d409e7,K citymarket Vantaa Tammi,4c729494-0519-4d5e-b25d-a794e139cce8
645b3904d2cffded211f1a34c51795ae,2019-08-31,2019-08-31T15:04:17.000Z,261595,SEK,,BO OHLSSON I TOMELILLA,5113119d-26ef-436e-8486-a71ed94e396d
12773582c51586c5ffd856f86bfb1526,2019-08-31,,13462,SEK,ica,ICA NARA GLANSEN,4c729494-0519-4d5e-b25d-a794e139cce8
c6d1a6df52ed6cd5729b34eafd5597b7,2019-08-31,,2300,SEK,3e81c2dd-6301-4f34-b81e-e95493ce4446,Selecta,5ee52beb-c33b-491f-8b9b-6f99e7d42489
f8caeeda1bddd93fd6c2cb5ecc5dc111,2019-08-31,2019-08-31T18:18:48.000Z,22800,DKK,,MADO COPENHAGEN,2fda440b-f219-4b7d-9dda-76090ec94398
26dc1300d87f76ec0d73e8839494b6e6,2019-08-31,2019-08-31T10:09:09.000Z,50000,SEK,hennes-and-mauritz,HM SE0131,2a03c5b7-c451-4e0b-9a60-018a2adb6776
61e7571bbe1686b291e0b2614fe7f437,2019-08-31,2019-08-31T18:41:48.000Z,26000,SEK,889e760e-5a1b-4896-9b76-0e1d5af2af94,RESTAURANG PLOCK,2fda440b-f219-4b7d-9dda-76090ec94398
015bdd608c233befa001bdfedb7e5084,2019-08-31,2019-08-31T14:53:38.000Z,5590,SEK,hemkop,HEMKÖP NORRKÖPING LIND,4c729494-0519-4d5e-b25d-a794e139cce8
6f755e4cd5cd1e3aece7ef48aa331470,2019-08-31,2019-08-31T13:33:33.000Z,10200,SEK,,ROCKBAREN,2fda440b-f219-4b7d-9dda-76090ec94398
41d3866988ad2c4c1a19f8dc1e46a8a9,2019-08-31,2019-08-31T12:53:53.000Z,20175,SEK,1766318e-3fde-46e2-b6db-ce242e5cd2ae,TEMPO GULLBRANDSTORP K,4c729494-0519-4d5e-b25d-a794e139cce8
8a7ed74af8b51287d19d2184b51c397a,2019-08-31,,10900,SEK,,FAMOUS BAR 3513,2fda440b-f219-4b7d-9dda-76090ec94398
36a4226dc983db13c75bcece3d71ca56,2019-08-31,2019-08-31T01:57:26.000Z,13200,SEK,67aca0cf-816f-4ece-bc0e-0ed235a9dae0,SPY BAR,c69353eb-7a0d-4a27-913b-7e39ad2edf2d
6ba60f3706b473667ae4ac8b171ad871,2019-08-31,2019-08-31T19:21:11.000Z,14500,SEK,966baff0-b702-4a19-b761-a35dda0fccda,STORA OREBRO,2fda440b-f219-4b7d-9dda-76090ec94398
397ef2346eda1aa4139bee943fd4d7e8,2019-08-31,2019-08-31T17:56:14.000Z,9168,USD,,PATAGONIA Ä00003,0a9b5e01-8955-4cb0-a1bf-e8244b73427a
5695037d3f4970b641f7949cd23e1f9a,2019-08-31,2019-08-31T13:16:19.000Z,6610,EUR,b756c2c9-2c4d-4919-b36c-db194d60cd3b,SUSHI WORLD OY,eb1ab643-e019-4fd6-b396-411c229808a6
43b9c835623fabaa9f44a436e55d55bd,2019-08-31,,12000,SEK,,SH FARSTA 2117,dcf1cd5a-9b1a-4473-9e8e-7b9ab0d3538f
fcb56cb4d0bc6c648d1a18e5d1e49c46,2019-08-31,,138440,SEK,4ea86afa-70ad-4c6d-9e9f-b7be35012a8a,AIRBNB * HMANCS295C,79acf42c-7a44-4307-93a7-168b97d0b161
1b3d6752d768560541790a3c1ff8ac8a,2019-08-31,,15900,SEK,,OREBRO CITY GOLF,c1c86f97-d764-4749-b1aa-aa30a6fc652b
d8ee45716e49c402a6a90a656788a38b,2019-08-31,,38600,SEK,7f4251a8-4d5b-4042-92d0-1139d69a6ffc,HORNBACH GOTEBORG,0f326f1a-88da-41f5-bdf7-1c98b037a3d3
1ca33443cc727939a2216fbbfe2c5574,2019-08-31,2019-08-31T16:36:36.000Z,9900,SEK,spotify,Spotify,921a55be-4097-4a39-9849-a3b2a2028b32
17a687690dddf5da1e0106b6f79ab02f,2019-08-31,,54260,SEK,4b0af148-dff9-4a09-9724-254eacf48c36,PLANTAGEN BROMM,f48ef31f-dec7-4fe2-b8b7-420fdc021387
afeb180b1f053e927c454488c906aaad,2019-08-31,2019-08-31T16:02:00.000Z,20000,SEK,,VIDEOSLOTS,1b237ab0-3814-43bd-a9c0-52d57791c54f
ba1ea1c36362ec5bf9b0bee4bf4395c5,2019-08-31,2019-08-31T12:20:20.000Z,12620,SEK,systembolaget,SYSTEMBOLAGET SUNDSVAL,15648215-9ffe-47f1-8290-0bf55388d17d
cbe94b8290064017c1b464b86070a951,2019-08-31,2019-08-31T10:11:11.000Z,10000,SEK,,BEJRO FISK & SKALDJUR LKP,273bb206-7ed9-44f9-a641-9cc9e9bc804c
1acdddd5bcc83dd359e37a605f2d0021,2019-08-31,,7200,SEK,2625c494-ad6a-4817-8f93-216fdc623851,CAFE GYLLEN,c7bb852a-c9b4-41d8-89a5-2487106106d9
defbecf304b27ebc8e53ea3b256733a6,2019-08-31,2019-08-31T09:00:55.000Z,1649,EUR,itunes,PAYPAL *ITUNES.COM/BIL,921a55be-4097-4a39-9849-a3b2a2028b32
e1d21932160a47e25cdd431094b5655b,2019-08-31,,7573,SEK,coop,COOP EKEBY UPPSALA,4c729494-0519-4d5e-b25d-a794e139cce8
47cf0144ac60acf15f47877a5b64d2ed,2019-08-31,2019-08-31T17:28:28.000Z,24500,SEK,,SJORRODSKIOSKEN NYA AB,2fda440b-f219-4b7d-9dda-76090ec94398
3333c1b7274db4d3b23ff0de80b3c6fa,2019-08-31,,13040,SEK,,SKOKLOSTER LANTHANDEL,5630da00-60fb-4dd6-a915-fa6e5b085919
2cd6b18f542ec01e94f0e8be42931a1f,2019-08-31,2019-08-31T13:48:48.000Z,23260,SEK,0a12d4d1-c671-4e2b-a6b4-e6e3fa584fa9,CITY GROSS VASTERAS,4c729494-0519-4d5e-b25d-a794e139cce8
4d3f3101198d727325244a882ac603a9,2019-08-31,2019-08-31T19:09:11.000Z,5000,SEK,mcdonalds,MCD NACKA KASSA,d9deaea8-f96a-4d4b-83a8-d48389de594a
0f66dae81ba82552102fb3943e61030c,2019-08-31,2019-08-31T06:51:51.000Z,20000,SEK,,BET365,1b237ab0-3814-43bd-a9c0-52d57791c54f
8b374e14b924bec7b3d8924f3a1250ca,2019-08-31,,35000,SEK,1b60489a-ab29-4b8e-b278-a2da5bed6b13,IVONS HAIR TREND AB,da149dc0-50b8-4101-8177-e21962495f24
323f10a760a8f89c4ad06b0ad0cfd28e,2019-08-31,,17400,SEK,,CASA DE LAGO,84fe55b7-0537-487e-9587-74c38d379132
8eff08ee49af739b4a7a6991d7e2e9af,2019-08-31,,653,SEK,540f9f89-ee3e-4f39-aea9-5ba93dd3c5e8,BETALA P,b5af4a6d-2c0b-45b7-90ee-1dac09d9d16f
d8e7155415dcf0015d98357563fd7fba,2019-08-31,2019-08-31T11:12:57.000Z,694,EUR,062b2bae-3323-41dc-8cdd-9bdac1009cf1,Prisma Kokkola,4c729494-0519-4d5e-b25d-a794e139cce8
4aae17bb9afc2a897d864d0c9db9dc4b,2019-08-31,,17900,SEK,okq8,OKQ8,1c680d8b-3f77-42a1-b0a0-587ae3b60945
b8928b4e794df796f166a1a519e7feec,2019-08-31,,4590,SEK,lloyds-apotek,LLOYDSAPOTEK SAMARITEN,31885b8b-89d9-48be-8f70-91ffa88a46e4
5f00c9d4477eb5f369aaf09db21872f3,2019-08-31,,16707,SEK,statoil,CIRCLE K NACKA STRAND,1c680d8b-3f77-42a1-b0a0-587ae3b60945
cee94f7f77b3fbe808d0f86760dee2c1,2019-08-31,2019-08-31T08:17:50.000Z,2820,EUR,,Avecra Oy 7303 ravintolav,2fda440b-f219-4b7d-9dda-76090ec94398
674c27ce9c577ac3e441d10a456c3b83,2019-08-31,,6600,SEK,7-eleven,7 ELEVEN 4418127,f0ddb0b5-f57c-476b-8955-85089ade4c51
8ab021a13c350503677099b53b35f406,2019-08-31,,97696,SEK,,LARBRO,1c680d8b-3f77-42a1-b0a0-587ae3b60945
2fb356d198b782a1f393344f580f6963,2019-08-31,2019-08-31T11:50:42.000Z,6470,EUR,6171a262-cde8-42ed-9bb1-7e4ce883d744,Asko Kajaani,ba955e8f-bb61-4a82-b9d0-e7e07bc3806a
981ad674defa8e8d82607816124e6cf4,2019-08-31,2019-08-31T20:51:51.000Z,40080,SEK,8e520714-df54-459d-8d9c-6f09f4bd76d5,QSTAR MONSTERAS,1c680d8b-3f77-42a1-b0a0-587ae3b60945
29979555fbac628846fb5cecef79a218,2019-08-31,2019-08-31T16:33:01.000Z,25000,SEK,,ARKOSUNDS HOTELL,84fe55b7-0537-487e-9587-74c38d379132
7ee52ee23c12736c172abf6b117db6cc,2019-08-31,2019-08-31T16:11:36.000Z,18687,SEK,4af231fa-b5ee-4064-8641-1b77e23d4190,HEMKÖP TULLINGE,4c729494-0519-4d5e-b25d-a794e139cce8
2459056766ab6c99543da3a1a22522f7,2019-08-31,2019-08-31T10:31:31.000Z,8500,SEK,,SWEAKRONAN,1b4fa43b-1657-49ed-a309-7d11359e97da
7ee5d3c4ab43f0facba324afda3fbff9,2019-08-31,2019-08-31T07:04:25.000Z,20000,SEK,11660f45-3265-4ff1-891e-cb6cac09dae2,ATG,1b237ab0-3814-43bd-a9c0-52d57791c54f
09ce966733d7de65eb61f76827297622,2019-08-31,2019-08-31T09:15:15.000Z,5000,SEK,30ef3530-4717-4d68-ba7c-56255044612a,QPARK HANSA,b5af4a6d-2c0b-45b7-90ee-1dac09d9d16f
ffb5843c725c6755d15114b5435a32b2,2019-08-31,,25400,SEK,06e6155a-67da-4c75-8944-ec174a2e0ae3,Delivery Hero Sweden A,129027fd-a56c-4eb5-963f-d9087c1a1931
f952583eb4738988c97bedbdf128af11,2019-08-31,2019-08-31T17:30:54.000Z,1640,EUR,,EL MERKADO,2fda440b-f219-4b7d-9dda-76090ec94398
09709251fc9ee14bf92796c05cf57f9d,2019-08-31,2019-08-31T14:08:08.000Z,10000,SEK,11660f45-3265-4ff1-891e-cb6cac09dae2,ATG,1b237ab0-3814-43bd-a9c0-52d57791c54f
9364f27887d941f9c2ecd165306ca1b0,2019-08-31,,5900,SEK,mcdonalds,MCD 72  UPPSALA,d9deaea8-f96a-4d4b-83a8-d48389de594a
5f00d6b0590af9cbef92e378e39b2b66,2019-08-31,2019-08-31T18:04:04.000Z,550,SEK,willys,WILLYS HUSKVARNA,4c729494-0519-4d5e-b25d-a794e139cce8
c16a07d46c523a399491f93b8790a9a8,2019-08-31,,30000,SEK,,BET365,1b237ab0-3814-43bd-a9c0-52d57791c54f
a543bf5486b6bc332d5edd9df1f72879,2019-08-31,,34700,SEK,,BRASSERIE STADS,2fda440b-f219-4b7d-9dda-76090ec94398
63112ff9404be7c5c2ea7c067c1f7620,2019-08-31,,15890,SEK,8722a18f-09ff-4fc4-9620-d3a05c5dfc0d,BILTEMA SWEDEN LULEA,85d6556d-929a-4758-9ef7-c776383bc9fe
28c198fd87d8b4714ef05d99cac2133d,2019-08-31,2019-08-31T18:38:38.000Z,10500,SEK,,7 ANS GATUKOK,4c729494-0519-4d5e-b25d-a794e139cce8
9892edf6a43a9734378b9d9e3007e428,2019-08-31,2019-08-31T14:41:13.000Z,4800,SEK,c92f357b-ab87-45df-82f1-a81f2583d4c5,ICA SUPERMARKET TELEFO,4c729494-0519-4d5e-b25d-a794e139cce8
241fb4520441ca61cce772151dc79d66,2019-08-31,,4900,SEK,8c69bf3b-21c3-4dad-8218-a807910ead1c,COLORAMA MOLNLYCKE,a07ebb01-cf61-42c8-b8c1-a2c57bfc4783
7c3e20b4c9631d58626ca75504cae932,2019-08-31,2019-08-31T11:52:52.000Z,4100,SEK,172296f6-207d-4a1a-b9f5-cdf7571098e2,LISEBERG AB,eab0f5f0-3826-49d7-8c74-df9b08a3653c
3d9f048e0f05d07457359ae44748e8a5,2019-08-31,2019-08-31T10:29:57.000Z,347,EUR,,PAYPAL *JAMGROUP999,5c5913b7-fbc0-4210-9cf0-9e59ca528c7c
fccfe90741095b09d6029bff2fe14562,2019-08-31,,11200,SEK,c4423a87-6857-4204-8eac-5ddde09d56d5,IN O FINN,5113119d-26ef-436e-8486-a71ed94e396d
6210f12403a4519919b83486d6c815d1,2019-08-31,2019-08-31T19:48:41.000Z,4800,SEK,62cea24f-b367-4396-bc07-aa748b52adf1,PARKERINGSBOLAGET,b5af4a6d-2c0b-45b7-90ee-1dac09d9d16f
197d30436dcba8d2c3c33388d354e909,2019-08-31,,9370,SEK,369204d4-1efc-4a85-aded-0faac00cd662,ICA SUPERMARKET KVARNE,4c729494-0519-4d5e-b25d-a794e139cce8
e55f415bde13e8ba8a3832c953bcab3b,2019-08-31,2019-08-31T08:15:13.000Z,750,EUR,03035b47-5ea9-46b8-ae27-c57fec499ffe,MCD VAARALA,d9deaea8-f96a-4d4b-83a8-d48389de594a
c773cc301d02df69ae8954cabbfa118c,2019-08-31,2019-08-31T10:53:34.000Z,3999,EUR,544466eb-2d6e-44f0-a5a8-b0e47e9d932b,LINDEX KARISMA,2a03c5b7-c451-4e0b-9a60-018a2adb6776
41dd50eeb0f78311d1ddad30d00651e8,2019-08-31,,12000,SEK,c7069ed8-7c2d-4f13-aec9-ed580c1788e5,OHLSSONS TYGER O STUVA,9b5ec8ee-4818-4af6-afbb-723c58849e4e
